"V1","V2","V3","V4","V5","V6","V7","V8","V9"
23.8888888888889,"x",420,1013.25,"x",2,0,0,"x"
23.8888888888889,"x",420.15095908182,1013.25,"x",2,1,0,"x"
23.8888888888889,"x",420.30153451843,1013.25,"x",2,2,0,"x"
23.8888888888889,"x",420.45172344308,1013.25,"x",2,3,0,"x"
23.8888888888889,"x",420.6015229964,1013.25,"x",2,4,0,"x"
23.8888888888889,"x",420.75093032642,1013.25,"x",2,5,0,"x"
23.8888888888889,"x",420.89994258864,1013.25,"x",2,6,0,"x"
23.8888888888889,"x",421.04855694607,1013.25,"x",2,7,0,"x"
23.8888888888889,"x",421.19677056933,1013.25,"x",2,8,0,"x"
23.8888888888889,"x",421.34458063662,1013.25,"x",2,9,0,"x"
23.8888888888889,"x",421.49198433387,1013.25,"x",2,10,0,"x"
23.8888888888889,"x",421.63897885472,1013.25,"x",2,11,0,"x"
23.8888888888889,"x",421.7855614006,1013.25,"x",2,12,0,"x"
23.8888888888889,"x",421.9317291808,1013.25,"x",2,13,0,"x"
23.8888888888889,"x",422.07747941248,1013.25,"x",2,14,0,"x"
23.8888888888889,"x",422.22280932078,1013.25,"x",2,15,0,"x"
23.8888888888889,"x",422.36771613883,1013.25,"x",2,16,0,"x"
23.8888888888889,"x",422.5121971078,1013.25,"x",2,17,0,"x"
23.8888888888889,"x",422.65624947699,1013.25,"x",2,18,0,"x"
23.8888888888889,"x",422.79987050385,1013.25,"x",2,19,0,"x"
23.8888888888889,"x",422.94305745404,1013.25,"x",2,20,0,"x"
23.8888888888889,"x",423.08580760149,1013.25,"x",2,21,0,"x"
23.8888888888889,"x",423.22811822844,1013.25,"x",2,22,0,"x"
23.8888888888889,"x",423.3699866255,1013.25,"x",2,23,0,"x"
23.8888888888889,"x",423.5114100917,1013.25,"x",2,24,0,"x"
23.8888888888889,"x",423.65238593454,1013.25,"x",2,25,0,"x"
23.8888888888889,"x",423.79291147005,1013.25,"x",2,26,0,"x"
23.8888888888889,"x",423.93298402283,1013.25,"x",2,27,0,"x"
23.8888888888889,"x",424.07260092608,1013.25,"x",2,28,0,"x"
23.8888888888889,"x",424.21175952172,1013.25,"x",2,29,0,"x"
23.8888888888889,"x",424.35045716035,1013.25,"x",2,30,0,"x"
23.8888888888889,"x",424.48869120138,1013.25,"x",2,31,0,"x"
23.8888888888889,"x",424.62645901303,1013.25,"x",2,32,0,"x"
23.8888888888889,"x",424.76375797239,1013.25,"x",2,33,0,"x"
23.8888888888889,"x",424.9005854655,1013.25,"x",2,34,0,"x"
23.8888888888889,"x",425.03693888736,1013.25,"x",2,35,0,"x"
23.8888888888889,"x",425.17281564199,1013.25,"x",2,36,0,"x"
23.8888888888889,"x",425.3082131425,1013.25,"x",2,37,0,"x"
23.8888888888889,"x",425.44312881111,1013.25,"x",2,38,0,"x"
23.8888888888889,"x",425.57756007922,1013.25,"x",2,39,0,"x"
23.8888888888889,"x",425.71150438746,1013.25,"x",2,40,0,"x"
23.8888888888889,"x",425.84495918572,1013.25,"x",2,41,0,"x"
23.8888888888889,"x",425.97792193321,1013.25,"x",2,42,0,"x"
23.8888888888889,"x",426.11039009851,1013.25,"x",2,43,0,"x"
23.8888888888889,"x",426.24236115962,1013.25,"x",2,44,0,"x"
23.8888888888889,"x",426.373832604,1013.25,"x",2,45,0,"x"
23.8888888888889,"x",426.50480192863,1013.25,"x",2,46,0,"x"
23.8888888888889,"x",426.63526664003,1013.25,"x",2,47,0,"x"
23.8888888888889,"x",426.76522425435,1013.25,"x",2,48,0,"x"
23.8888888888889,"x",426.89467229739,1013.25,"x",2,49,0,"x"
23.8888888888889,"x",427.02360830463,1013.25,"x",2,50,0,"x"
23.8888888888889,"x",427.15202982132,1013.25,"x",2,51,0,"x"
23.8888888888889,"x",427.2799344025,1013.25,"x",2,52,0,"x"
23.8888888888889,"x",427.40731961305,1013.25,"x",2,53,0,"x"
23.8888888888889,"x",427.53418302775,1013.25,"x",2,54,0,"x"
23.8888888888889,"x",427.66052223129,1013.25,"x",2,55,0,"x"
23.8888888888889,"x",427.78633481836,1013.25,"x",2,56,0,"x"
23.8888888888889,"x",427.91161839367,1013.25,"x",2,57,0,"x"
23.8888888888889,"x",428.03637057199,1013.25,"x",2,58,0,"x"
23.8888888888889,"x",428.16058897824,1013.25,"x",2,59,0,"x"
23.8888888888889,"x",428.28427124746,1013.25,"x",3,0,0,"x"
23.8888888888889,"x",428.40741502493,1013.25,"x",3,1,0,"x"
23.8888888888889,"x",428.53001796617,1013.25,"x",3,2,0,"x"
23.8888888888889,"x",428.65207773699,1013.25,"x",3,3,0,"x"
23.8888888888889,"x",428.77359201355,1013.25,"x",3,4,0,"x"
23.8888888888889,"x",428.89455848239,1013.25,"x",3,5,0,"x"
23.8888888888889,"x",429.01497484049,1013.25,"x",3,6,0,"x"
23.8888888888889,"x",429.1348387953,1013.25,"x",3,7,0,"x"
